symbol	usa	candidate	score	best_score	best	classification	pass3_classification	structural_score	rom_score	total_score	reasons
_PokemonTower5FChanneler2AfterBattleText	26:59C3	26:5A9B	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_PokemonTower5FChanneler3AfterBattleText	26:5A0C	26:5A9B	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_PokemonTower5FChanneler3AfterBattleText	26:5A0C	26:5A5C	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_PokemonTower7FRocket1EndBattleText	26:5D56	26:5DF2	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_RockTunnel1FHiker3EndBattleText	23:4459	23:4474	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_RockTunnelB1FCooltrainerF2EndBattleText	21:6C3F	21:6E1D	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_RoseText	25:47AB	25:4870	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_RoseText	25:47AB	25:4888	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_Route11DiglettsCaveSignText	24:408F	24:4098	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_Route12Gate2FBrunetteGirlTM39NoRoomText	23:493C	23:4953	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_Route12SnorlaxText	24:409E	24:40A8	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_Route12SnorlaxWokeUpText	24:40BF	24:40D0	45	45	YES	STILL_AMBIGUOUS	PLAUSIBLE	140	80	220	after-prev;reasonable-prev-ratio
_Route13CooltrainerF1EndBattleText	24:4466	24:44D7	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_Route14CooltrainerM1EndBattleText	24:483F	24:48CE	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_Route14CooltrainerM6EndBattleText	24:4A59	24:4AF2	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_Route15CooltrainerF1EndBattleText	24:4C6E	24:4D02	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_Route16FlyHouseBrunetteGirlHM02NoRoomText	23:4EBE	23:4EDD	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_Route16SnorlaxWokeUpText	24:52A8	24:5364	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_Route16Text7	24:5287	24:533C	45	45	YES	STILL_AMBIGUOUS	PLAUSIBLE	140	80	220	after-prev;reasonable-prev-ratio
_Route17Biker1EndBattleText	24:5375	24:5436	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_Route19Swimmer4AfterBattleText	24:5A9E	24:5BE0	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_Route19Swimmer4AfterBattleText	24:5A9E	24:5C12	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_Route19Swimmer4BattleText	24:5A6F	24:5BE0	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_Route19Swimmer4BattleText	24:5A6F	24:5C12	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_Route24CooltrainerF1AfterBattleText	25:40BC	25:4081	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_Route24CooltrainerF1AfterBattleText	25:40BC	25:40E1	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_Route24CooltrainerF1AfterBattleText	25:40BC	25:4141	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_Route24CooltrainerF2AfterBattleText	25:4163	25:4141	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_Route24CooltrainerF2AfterBattleText	25:4163	25:41A0	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_Route24CooltrainerF2AfterBattleText	25:4163	25:424F	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_Route24CooltrainerM3AfterBattleText	25:4072	25:4081	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_Route24CooltrainerM3AfterBattleText	25:4072	25:40E1	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_Route24Youngster1AfterBattleText	25:4110	25:4141	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
